CMDLINE 54532
MEM 713.199219 1714044945.6206
MEM 713.199219 1714044945.7224
MEM 713.199219 1714044945.8303
MEM 713.199219 1714044945.9396
MEM 713.199219 1714044946.0483
MEM 713.199219 1714044946.1557
MEM 713.199219 1714044946.2658
MEM 713.199219 1714044946.3730
MEM 713.199219 1714044946.4816
MEM 713.199219 1714044946.5899
MEM 713.199219 1714044946.6971
MEM 713.199219 1714044946.8060
MEM 713.199219 1714044946.9157
MEM 713.199219 1714044947.0252
MEM 713.199219 1714044947.1341
MEM 713.199219 1714044947.2428
MEM 713.199219 1714044947.3526
MEM 713.199219 1714044947.4602
MEM 713.199219 1714044947.5712
MEM 713.199219 1714044947.6794
MEM 713.199219 1714044947.7886
MEM 713.199219 1714044947.8976
MEM 713.199219 1714044948.0057
MEM 713.199219 1714044948.1123
MEM 713.199219 1714044948.2215
MEM 713.199219 1714044948.3307
MEM 713.199219 1714044948.4407
MEM 713.199219 1714044948.5512
MEM 713.199219 1714044948.6595
MEM 713.199219 1714044948.7683
MEM 713.199219 1714044948.8762
MEM 713.199219 1714044948.9861
MEM 713.199219 1714044949.0948
MEM 713.199219 1714044949.2051
MEM 713.199219 1714044949.3135
MEM 713.199219 1714044949.4238
MEM 713.199219 1714044949.5318
MEM 713.199219 1714044949.6405
MEM 713.199219 1714044949.7518
MEM 713.199219 1714044949.8596
MEM 713.199219 1714044949.9681
MEM 713.199219 1714044950.0781
MEM 713.199219 1714044950.1848
MEM 713.199219 1714044950.2924
MEM 713.199219 1714044950.4015
MEM 713.199219 1714044950.5090
MEM 713.199219 1714044950.6179
MEM 713.199219 1714044950.7252
MEM 713.199219 1714044950.8344
MEM 713.199219 1714044950.9425
MEM 713.199219 1714044951.0536
MEM 713.199219 1714044951.1608
MEM 713.199219 1714044951.2708
MEM 713.199219 1714044951.3801
MEM 713.199219 1714044951.4880
MEM 713.199219 1714044951.5983
MEM 713.199219 1714044951.7082
MEM 713.199219 1714044951.8164
MEM 713.199219 1714044951.9241
MEM 713.199219 1714044952.0327
MEM 713.199219 1714044952.1431
MEM 713.199219 1714044952.2433
MEM 713.199219 1714044952.3520
MEM 713.199219 1714044952.4612
MEM 713.199219 1714044952.5689
MEM 713.199219 1714044952.6792
MEM 713.199219 1714044952.7893
MEM 713.199219 1714044952.8968
MEM 713.199219 1714044953.0053
MEM 713.199219 1714044953.1140
MEM 713.199219 1714044953.2221
MEM 713.199219 1714044953.3313
MEM 713.199219 1714044953.4392
MEM 713.199219 1714044953.5480
MEM 713.199219 1714044953.6567
MEM 713.199219 1714044953.7663
MEM 713.199219 1714044953.8750
MEM 713.199219 1714044953.9839
MEM 713.199219 1714044954.0922
MEM 713.199219 1714044954.2013
MEM 713.199219 1714044954.3090
MEM 713.199219 1714044954.4174
MEM 713.199219 1714044954.5250
MEM 713.199219 1714044954.6358
MEM 713.199219 1714044954.7449
MEM 713.199219 1714044954.8515
MEM 713.199219 1714044954.9606
MEM 713.199219 1714044955.0711
MEM 713.199219 1714044955.1798
MEM 713.199219 1714044955.2882
MEM 713.199219 1714044955.3974
MEM 713.199219 1714044955.5077
MEM 713.199219 1714044955.6171
MEM 713.199219 1714044955.7259
MEM 713.199219 1714044955.8358
MEM 713.199219 1714044955.9458
MEM 713.199219 1714044956.0569
MEM 713.199219 1714044956.1666
MEM 713.199219 1714044956.2771
MEM 713.199219 1714044956.3873
MEM 713.199219 1714044956.4969
MEM 713.199219 1714044956.6064
MEM 713.199219 1714044956.7140
MEM 713.199219 1714044956.8233
MEM 713.199219 1714044956.9325
MEM 713.199219 1714044957.0405
MEM 713.199219 1714044957.1481
MEM 713.199219 1714044957.2559
MEM 713.199219 1714044957.3644
MEM 713.199219 1714044957.4728
MEM 713.199219 1714044957.5822
MEM 713.199219 1714044957.6918
MEM 713.199219 1714044957.8026
MEM 713.199219 1714044957.9101
MEM 713.199219 1714044958.0189
MEM 713.199219 1714044958.1277
MEM 713.199219 1714044958.2359
MEM 713.199219 1714044958.3449
MEM 713.199219 1714044958.4546
MEM 713.199219 1714044958.5629
MEM 713.199219 1714044958.6728
MEM 713.199219 1714044958.7820
MEM 713.199219 1714044958.8912
MEM 713.199219 1714044958.9994
MEM 713.199219 1714044959.1080
MEM 713.199219 1714044959.2162
MEM 713.199219 1714044959.3259
MEM 713.199219 1714044959.4288
MEM 713.199219 1714044959.5380
MEM 713.199219 1714044959.6459
MEM 713.199219 1714044959.7556
MEM 713.199219 1714044959.8603
MEM 713.199219 1714044959.9759
MEM 713.199219 1714044960.0829
MEM 713.199219 1714044960.1907
MEM 713.199219 1714044960.3005
MEM 713.199219 1714044960.4091
MEM 713.199219 1714044960.5181
MEM 713.199219 1714044960.6260
MEM 713.199219 1714044960.7345
MEM 713.199219 1714044960.8440
MEM 713.199219 1714044960.9529
MEM 713.199219 1714044961.0631
MEM 713.199219 1714044961.1718
MEM 713.199219 1714044961.2810
MEM 713.199219 1714044961.3890
MEM 713.199219 1714044961.4984
MEM 713.199219 1714044961.6067
MEM 713.199219 1714044961.7158
MEM 713.199219 1714044961.8241
MEM 713.199219 1714044961.9345
MEM 713.199219 1714044962.0428
MEM 713.199219 1714044962.1537
MEM 713.199219 1714044962.2637
MEM 713.199219 1714044962.3714
MEM 713.199219 1714044962.4793
MEM 713.199219 1714044962.5881
MEM 713.199219 1714044962.6981
MEM 713.199219 1714044962.8071
MEM 713.199219 1714044962.9164
MEM 713.199219 1714044963.0247
MEM 713.199219 1714044963.1337
MEM 713.199219 1714044963.2437
MEM 713.199219 1714044963.3527
MEM 713.199219 1714044963.4628
MEM 713.199219 1714044963.5722
MEM 713.199219 1714044963.6793
MEM 713.199219 1714044963.7888
MEM 713.199219 1714044963.8969
MEM 713.199219 1714044964.0060
MEM 713.199219 1714044964.1127
MEM 713.199219 1714044964.2223
MEM 713.199219 1714044964.3320
MEM 713.199219 1714044964.4403
MEM 713.199219 1714044964.5475
MEM 713.199219 1714044964.6569
MEM 713.199219 1714044964.7627
MEM 713.199219 1714044964.8703
MEM 713.199219 1714044964.9785
MEM 713.199219 1714044965.0873
MEM 713.199219 1714044965.1981
MEM 713.199219 1714044965.3069
MEM 713.199219 1714044965.4152
MEM 713.199219 1714044965.5248
MEM 713.199219 1714044965.6324
MEM 713.199219 1714044965.7416
MEM 713.199219 1714044965.8522
MEM 713.199219 1714044965.9628
MEM 713.199219 1714044966.0724
MEM 713.199219 1714044966.1810
MEM 713.199219 1714044966.2905
MEM 713.199219 1714044966.3996
MEM 713.199219 1714044966.5101
MEM 713.199219 1714044966.6188
MEM 713.199219 1714044966.7271
MEM 713.199219 1714044966.8361
MEM 713.199219 1714044966.9460
MEM 713.199219 1714044967.0547
MEM 713.199219 1714044967.1639
MEM 713.199219 1714044967.2729
MEM 713.199219 1714044967.3817
MEM 713.199219 1714044967.4896
MEM 713.199219 1714044967.5988
MEM 713.199219 1714044967.7086
MEM 713.199219 1714044967.8174
MEM 713.199219 1714044967.9257
MEM 713.199219 1714044968.0359
MEM 713.199219 1714044968.1441
MEM 713.199219 1714044968.2512
MEM 713.199219 1714044968.3598
MEM 713.199219 1714044968.4688
MEM 713.199219 1714044968.5788
MEM 713.199219 1714044968.6877
MEM 713.199219 1714044968.7969
MEM 713.199219 1714044968.9035
MEM 713.199219 1714044969.0119
MEM 713.199219 1714044969.1208
MEM 713.199219 1714044969.2291
MEM 713.199219 1714044969.3383
MEM 713.199219 1714044969.4474
MEM 713.199219 1714044969.5569
MEM 713.199219 1714044969.6660
MEM 713.199219 1714044969.7743
MEM 713.199219 1714044969.8834
MEM 713.199219 1714044969.9930
MEM 713.199219 1714044970.1025
MEM 713.199219 1714044970.2099
MEM 713.199219 1714044970.3201
MEM 713.199219 1714044970.4279
MEM 713.199219 1714044970.5380
MEM 713.199219 1714044970.6465
MEM 713.199219 1714044970.7545
MEM 713.199219 1714044970.8636
MEM 713.199219 1714044970.9718
MEM 713.199219 1714044971.0824
MEM 713.199219 1714044971.1916
MEM 713.199219 1714044971.3010
MEM 713.199219 1714044971.4103
MEM 713.199219 1714044971.5181
MEM 713.199219 1714044971.6282
MEM 713.199219 1714044971.7378
MEM 713.199219 1714044971.8468
MEM 713.199219 1714044971.9559
MEM 713.199219 1714044972.0650
MEM 713.199219 1714044972.1750
MEM 713.199219 1714044972.2830
MEM 713.199219 1714044972.3921
MEM 713.199219 1714044972.5004
MEM 713.199219 1714044972.6087
MEM 713.199219 1714044972.7182
MEM 713.199219 1714044972.8270
MEM 713.199219 1714044972.9360
MEM 713.199219 1714044973.0446
MEM 713.199219 1714044973.1540
MEM 713.199219 1714044973.2625
MEM 713.199219 1714044973.3720
MEM 713.199219 1714044973.4816
MEM 713.199219 1714044973.5914
MEM 713.199219 1714044973.6982
MEM 713.199219 1714044973.8077
MEM 713.199219 1714044973.9139
MEM 713.199219 1714044974.0160
MEM 713.199219 1714044974.1249
MEM 713.199219 1714044974.2332
MEM 713.199219 1714044974.3402
MEM 713.199219 1714044974.4495
MEM 713.199219 1714044974.5570
MEM 713.199219 1714044974.6661
MEM 713.199219 1714044974.7747
MEM 713.199219 1714044974.8845
MEM 713.199219 1714044974.9933
MEM 713.199219 1714044975.1027
MEM 713.199219 1714044975.2108
MEM 713.199219 1714044975.3180
MEM 713.199219 1714044975.4270
MEM 713.199219 1714044975.5343
MEM 713.199219 1714044975.6447
MEM 713.199219 1714044975.7543
MEM 713.199219 1714044975.8639
MEM 713.199219 1714044975.9723
MEM 713.199219 1714044976.0807
MEM 713.199219 1714044976.1911
MEM 713.199219 1714044976.2984
MEM 713.199219 1714044976.4072
MEM 713.199219 1714044976.5149
MEM 713.199219 1714044976.6248
MEM 713.199219 1714044976.7343
MEM 713.199219 1714044976.8429
MEM 713.199219 1714044976.9533
MEM 713.199219 1714044977.0604
MEM 713.199219 1714044977.1682
MEM 713.199219 1714044977.2770
MEM 713.199219 1714044977.3854
MEM 713.199219 1714044977.4950
MEM 713.199219 1714044977.5997
MEM 713.199219 1714044977.7160
MEM 713.199219 1714044977.8245
MEM 713.199219 1714044977.9340
MEM 713.199219 1714044978.0421
MEM 713.199219 1714044978.1488
MEM 713.199219 1714044978.2588
MEM 713.199219 1714044978.3668
MEM 713.199219 1714044978.4745
MEM 713.199219 1714044978.5842
MEM 713.199219 1714044978.6914
MEM 713.199219 1714044978.8005
MEM 713.199219 1714044978.9086
MEM 713.199219 1714044979.0182
MEM 713.199219 1714044979.1257
MEM 713.199219 1714044979.2341
MEM 713.199219 1714044979.3435
MEM 713.199219 1714044979.4531
MEM 713.199219 1714044979.5639
MEM 713.199219 1714044979.6723
MEM 713.199219 1714044979.7823
MEM 713.199219 1714044979.8909
MEM 713.199219 1714044979.9979
MEM 709.203125 1714044980.1059
MEM 713.199219 1714044980.2152
MEM 713.199219 1714044980.3244
MEM 713.199219 1714044980.4338
MEM 713.199219 1714044980.5418
MEM 713.199219 1714044980.6423
MEM 713.199219 1714044980.7458
MEM 713.199219 1714044980.8539
MEM 713.199219 1714044980.9627
MEM 713.199219 1714044981.0702
MEM 713.199219 1714044981.1805
MEM 713.199219 1714044981.2958
MEM 713.199219 1714044981.4105
MEM 713.199219 1714044981.5194
MEM 713.199219 1714044981.6292
MEM 713.199219 1714044981.7379
MEM 713.199219 1714044981.8459
MEM 713.199219 1714044981.9534
MEM 713.199219 1714044982.0635
MEM 713.199219 1714044982.1718
MEM 713.199219 1714044982.2804
MEM 713.199219 1714044982.3898
MEM 713.199219 1714044982.4993
MEM 713.199219 1714044982.6092
MEM 713.199219 1714044982.7160
MEM 713.199219 1714044982.8250
MEM 713.199219 1714044982.9337
MEM 713.199219 1714044983.0416
MEM 713.199219 1714044983.1501
MEM 713.199219 1714044983.2600
MEM 713.199219 1714044983.3696
MEM 713.199219 1714044983.4783
MEM 713.199219 1714044983.5914
MEM 713.199219 1714044983.7007
MEM 713.199219 1714044983.8080
MEM 713.199219 1714044983.9172
MEM 713.199219 1714044984.0238
MEM 713.199219 1714044984.1328
MEM 713.199219 1714044984.2437
MEM 713.199219 1714044984.3559
MEM 713.199219 1714044984.4564
MEM 713.199219 1714044984.5670
MEM 713.199219 1714044984.6715
MEM 713.199219 1714044984.7806
MEM 713.199219 1714044984.8906
MEM 713.199219 1714044985.0011
MEM 713.199219 1714044985.1096
MEM 713.199219 1714044985.2179
MEM 713.199219 1714044985.3293
MEM 713.199219 1714044985.4389
MEM 713.199219 1714044985.5462
MEM 713.199219 1714044985.6570
MEM 713.199219 1714044985.7644
MEM 713.199219 1714044985.8741
MEM 713.199219 1714044985.9829
MEM 713.199219 1714044986.0912
MEM 713.199219 1714044986.1997
MEM 713.199219 1714044986.3076
MEM 713.199219 1714044986.4184
MEM 713.199219 1714044986.5279
MEM 713.199219 1714044986.6362
MEM 713.199219 1714044986.7446
MEM 713.199219 1714044986.8543
MEM 713.199219 1714044986.9642
MEM 713.199219 1714044987.0744
MEM 713.199219 1714044987.1810
MEM 713.199219 1714044987.2884
MEM 713.199219 1714044987.3959
MEM 713.199219 1714044987.5067
MEM 713.199219 1714044987.6147
MEM 713.199219 1714044987.7218
MEM 713.199219 1714044987.8302
MEM 713.199219 1714044987.9386
MEM 713.199219 1714044988.0482
MEM 713.199219 1714044988.1560
MEM 713.199219 1714044988.2643
MEM 713.199219 1714044988.3744
MEM 713.199219 1714044988.4835
MEM 713.199219 1714044988.5915
MEM 713.199219 1714044988.7000
MEM 713.199219 1714044988.8088
MEM 713.199219 1714044988.9159
MEM 713.199219 1714044989.0245
MEM 713.199219 1714044989.1326
MEM 713.199219 1714044989.2402
MEM 713.199219 1714044989.3493
MEM 713.199219 1714044989.4571
MEM 713.199219 1714044989.5657
MEM 713.199219 1714044989.6755
MEM 713.199219 1714044989.7829
MEM 713.199219 1714044989.8923
MEM 713.199219 1714044990.0016
MEM 713.199219 1714044990.1108
MEM 713.199219 1714044990.2192
MEM 713.199219 1714044990.3281
MEM 713.199219 1714044990.4352
MEM 713.199219 1714044990.5455
MEM 713.199219 1714044990.6489
MEM 713.199219 1714044990.7578
MEM 713.199219 1714044990.8668
MEM 713.199219 1714044990.9739
MEM 713.199219 1714044991.0827
MEM 713.199219 1714044991.1919
MEM 713.199219 1714044991.2995
MEM 713.199219 1714044991.4084
MEM 713.199219 1714044991.5184
MEM 713.199219 1714044991.6273
MEM 713.199219 1714044991.7361
MEM 713.199219 1714044991.8438
MEM 713.199219 1714044991.9511
MEM 713.199219 1714044992.0587
MEM 713.199219 1714044992.1677
MEM 713.199219 1714044992.2772
MEM 713.199219 1714044992.3853
MEM 713.199219 1714044992.4941
MEM 713.199219 1714044992.6022
MEM 713.199219 1714044992.7118
MEM 713.199219 1714044992.8209
MEM 713.199219 1714044992.9312
MEM 713.199219 1714044993.0410
MEM 713.199219 1714044993.1485
MEM 713.199219 1714044993.2570
MEM 713.199219 1714044993.3657
MEM 713.199219 1714044993.4745
MEM 713.199219 1714044993.5836
MEM 713.199219 1714044993.6940
MEM 713.199219 1714044993.8053
MEM 713.199219 1714044993.9139
MEM 713.199219 1714044994.0230
MEM 713.199219 1714044994.1327
MEM 713.199219 1714044994.2409
MEM 713.199219 1714044994.3517
MEM 713.199219 1714044994.4607
MEM 713.199219 1714044994.5693
MEM 713.199219 1714044994.6778
MEM 713.199219 1714044994.7843
MEM 713.199219 1714044994.8934
MEM 713.199219 1714044995.0018
MEM 713.199219 1714044995.1121
MEM 713.199219 1714044995.2212
MEM 713.199219 1714044995.3293
MEM 713.199219 1714044995.4370
MEM 713.199219 1714044995.5460
MEM 713.199219 1714044995.6556
MEM 713.199219 1714044995.7647
MEM 713.199219 1714044995.8740
MEM 713.199219 1714044995.9831
MEM 713.199219 1714044996.0939
MEM 713.199219 1714044996.2034
MEM 713.199219 1714044996.3134
MEM 713.199219 1714044996.4237
MEM 713.199219 1714044996.5314
MEM 713.199219 1714044996.6401
MEM 713.199219 1714044996.7493
MEM 713.199219 1714044996.8581
MEM 713.199219 1714044996.9674
MEM 713.199219 1714044997.0758
MEM 713.199219 1714044997.1854
MEM 713.199219 1714044997.2926
MEM 713.199219 1714044997.4006
MEM 713.199219 1714044997.5090
MEM 713.199219 1714044997.6178
MEM 713.199219 1714044997.7268
MEM 713.199219 1714044997.8383
MEM 713.199219 1714044997.9469
MEM 713.199219 1714044998.0564
MEM 713.199219 1714044998.1647
MEM 713.199219 1714044998.2751
MEM 713.199219 1714044998.3845
MEM 713.199219 1714044998.4922
MEM 713.199219 1714044998.6011
MEM 713.199219 1714044998.7114
MEM 713.199219 1714044998.8208
MEM 713.199219 1714044998.9305
MEM 713.199219 1714044999.0399
MEM 713.199219 1714044999.1490
MEM 713.199219 1714044999.2570
MEM 713.199219 1714044999.3658
MEM 713.199219 1714044999.4768
MEM 713.199219 1714044999.5867
MEM 713.199219 1714044999.6957
MEM 713.199219 1714044999.8035
MEM 713.199219 1714044999.9123
MEM 713.199219 1714045000.0215
MEM 713.199219 1714045000.1298
MEM 713.199219 1714045000.2409
MEM 713.199219 1714045000.3503
MEM 713.199219 1714045000.4596
